ResponseID,Timestamp,Event,Department,EventType,Rating,Comments
R0001,2025-07-05 18:36:52.129125,Data Visualization Session,Data Science,Workshop,5,Really enjoyed the session — very informative and engaging.
R0002,2025-09-07 16:32:52.129125,Startup Pitch Day,Entrepreneurship Club,Seminar,4,Great speakers and practical examples. Loved it! Too long.
R0003,2025-09-04 15:40:52.129125,Cultural Night,Cultural Club,Cultural,5,
R0004,2025-07-08 05:45:52.129125,Data Visualization Session,Data Science,Workshop,5,Fun and interactive. The cohort participation was great.
R0005,2025-08-15 19:12:52.129125,Data Visualization Session,Data Science,Workshop,4,Fun and interactive. The cohort participation was great.
R0006,2025-07-24 16:56:52.129125,Guest Lecture: Ethics in Tech,Philosophy Dept,Seminar,2,"Not what I expected, the content was confusing."
R0007,2025-08-14 01:12:52.129125,AI Workshop,Computer Science,Workshop,5,Really enjoyed the session — very informative and engaging.
R0008,2025-07-07 01:55:52.129125,Career Talk: Resume & Interview,Career Services,Seminar,3,
R0009,2025-07-02 17:12:52.129125,Career Talk: Resume & Interview,Career Services,Seminar,3,"It was okay, some parts were useful."
R0010,2025-09-11 13:43:52.129125,Career Talk: Resume & Interview,Career Services,Seminar,3,"Somewhat informative, but pacing felt off. Too long."
R0011,2025-08-09 22:29:52.129125,Music Fest,Cultural Club,Cultural,5,Fun and interactive. The cohort participation was great.
R0012,2025-08-30 11:53:52.129125,Startup Pitch Day,Entrepreneurship Club,Seminar,3,"It was okay, some parts were useful."
R0013,2025-06-25 19:17:52.129125,Cultural Night,Cultural Club,Cultural,4,Very useful content; would attend similar events again.
R0014,2025-07-16 03:42:52.129125,Design Thinking Workshop,Design Dept,Workshop,4,Well organized and helpful. Learned a lot.
R0015,2025-07-04 09:59:52.129125,Cultural Night,Cultural Club,Cultural,3,Average experience. Could be better organized.
R0016,2025-09-18 13:16:52.129125,Design Thinking Workshop,Design Dept,Workshop,5,Really enjoyed the session — very informative and engaging. Good examples.
R0017,2025-08-24 08:24:52.129125,Guest Lecture: Ethics in Tech,Philosophy Dept,Seminar,3,
R0018,2025-06-28 09:32:52.129125,Data Visualization Session,Data Science,Workshop,5,Well organized and helpful. Learned a lot.
R0019,2025-07-21 12:20:52.129125,Design Thinking Workshop,Design Dept,Workshop,3,Neutral — neither very good nor very bad.
R0020,2025-07-20 23:59:52.129125,AI Workshop,Computer Science,Workshop,4,
R0021,2025-07-02 11:55:52.129125,Music Fest,Cultural Club,Cultural,5,Fun and interactive. The cohort participation was great.
R0022,2025-08-11 05:57:52.129125,Data Visualization Session,Data Science,Workshop,5,Very useful content; would attend similar events again.
R0023,2025-06-24 00:30:52.129125,Data Visualization Session,Data Science,Workshop,4,Fun and interactive. The cohort participation was great.
R0024,2025-08-18 00:14:52.129125,Startup Pitch Day,Entrepreneurship Club,Seminar,5,Fun and interactive. The cohort participation was great. Venue issues.
R0025,2025-07-28 16:01:52.129125,Career Talk: Resume & Interview,Career Services,Seminar,4,Really enjoyed the session — very informative and engaging.
R0026,2025-06-28 15:52:52.129125,AI Workshop,Computer Science,Workshop,2,Poorly organized and the speaker ran overtime.
R0027,2025-08-17 17:45:52.129125,Startup Pitch Day,Entrepreneurship Club,Seminar,3,"It was okay, some parts were useful."
R0028,2025-07-08 12:35:52.129125,Career Talk: Resume & Interview,Career Services,Seminar,3,"It was okay, some parts were useful."
R0029,2025-07-20 08:29:52.129125,Guest Lecture: Ethics in Tech,Philosophy Dept,Seminar,4,Well organized and helpful. Learned a lot.
R0030,2025-07-30 04:09:52.129125,Music Fest,Cultural Club,Cultural,5,Well organized and helpful. Learned a lot.
R0031,2025-07-29 07:12:52.129125,Cultural Night,Cultural Club,Cultural,4,
R0032,2025-07-22 02:50:52.129125,Design Thinking Workshop,Design Dept,Workshop,4,Well organized and helpful. Learned a lot. Too long.
R0033,2025-07-24 11:02:52.129125,Startup Pitch Day,Entrepreneurship Club,Seminar,4,Really enjoyed the session — very informative and engaging.
R0034,2025-07-14 09:26:52.129125,Cultural Night,Cultural Club,Cultural,4,Fun and interactive. The cohort participation was great.
R0035,2025-08-15 14:15:52.129125,Career Talk: Resume & Interview,Career Services,Seminar,2,Poorly organized and the speaker ran overtime. Food arrangement was bad.
R0036,2025-07-16 19:28:52.129125,Guest Lecture: Ethics in Tech,Philosophy Dept,Seminar,3,Neutral — neither very good nor very bad. Too long.
R0037,2025-09-18 10:36:52.129125,Design Thinking Workshop,Design Dept,Workshop,4,Really enjoyed the session — very informative and engaging.
R0038,2025-08-29 06:41:52.129125,Career Talk: Resume & Interview,Career Services,Seminar,4,Really enjoyed the session — very informative and engaging.
R0039,2025-08-17 18:01:52.129125,Design Thinking Workshop,Design Dept,Workshop,5,Very useful content; would attend similar events again.
R0040,2025-09-04 21:51:52.129125,Startup Pitch Day,Entrepreneurship Club,Seminar,3,"It was okay, some parts were useful. Too long."
R0041,2025-08-21 17:08:52.129125,Design Thinking Workshop,Design Dept,Workshop,3,
R0042,2025-07-12 02:49:52.129125,Career Talk: Resume & Interview,Career Services,Seminar,3,
R0043,2025-09-14 00:56:52.129125,Music Fest,Cultural Club,Cultural,3,"Somewhat informative, but pacing felt off."
R0044,2025-07-01 22:42:52.129125,Music Fest,Cultural Club,Cultural,4,Great speakers and practical examples. Loved it!
R0045,2025-08-08 09:38:52.129125,Startup Pitch Day,Entrepreneurship Club,Seminar,4,Great speakers and practical examples. Loved it!
R0046,2025-09-10 11:35:52.129125,Career Talk: Resume & Interview,Career Services,Seminar,2,"Timing and logistics were a problem, disappointing. Venue issues."
R0047,2025-08-26 01:39:52.129125,Guest Lecture: Ethics in Tech,Philosophy Dept,Seminar,4,Fun and interactive. The cohort participation was great.
R0048,2025-08-30 22:07:52.129125,Guest Lecture: Ethics in Tech,Philosophy Dept,Seminar,4,Well organized and helpful. Learned a lot.
R0049,2025-08-15 07:29:52.129125,Career Talk: Resume & Interview,Career Services,Seminar,3,Average experience. Could be better organized.
R0050,2025-08-20 10:45:52.129125,Music Fest,Cultural Club,Cultural,4,Good examples.
R0051,2025-08-24 19:54:52.129125,AI Workshop,Computer Science,Workshop,5,Really enjoyed the session — very informative and engaging.
R0052,2025-08-27 22:01:52.129125,Cultural Night,Cultural Club,Cultural,4,Great speakers and practical examples. Loved it!
R0053,2025-06-30 03:56:52.129125,Guest Lecture: Ethics in Tech,Philosophy Dept,Seminar,4,Fun and interactive. The cohort participation was great.
R0054,2025-07-13 16:37:52.129125,Data Visualization Session,Data Science,Workshop,5,Very useful content; would attend similar events again.
R0055,2025-09-01 06:23:52.129125,Guest Lecture: Ethics in Tech,Philosophy Dept,Seminar,3,"Somewhat informative, but pacing felt off."
R0056,2025-08-05 01:26:52.129125,Startup Pitch Day,Entrepreneurship Club,Seminar,4,Fun and interactive. The cohort participation was great.
R0057,2025-08-18 19:49:52.129125,AI Workshop,Computer Science,Workshop,5,Really enjoyed the session — very informative and engaging. Venue issues.
R0058,2025-09-15 14:05:52.129125,Design Thinking Workshop,Design Dept,Workshop,3,"It was okay, some parts were useful."
R0059,2025-07-30 06:28:52.129125,Startup Pitch Day,Entrepreneurship Club,Seminar,3,
R0060,2025-09-06 12:06:52.129125,Guest Lecture: Ethics in Tech,Philosophy Dept,Seminar,4,Great speakers and practical examples. Loved it!
R0061,2025-07-06 23:42:52.129125,Music Fest,Cultural Club,Cultural,3,"It was okay, some parts were useful."
R0062,2025-08-23 09:01:52.129125,Startup Pitch Day,Entrepreneurship Club,Seminar,2,"Timing and logistics were a problem, disappointing."
R0063,2025-07-04 08:10:52.129125,Cultural Night,Cultural Club,Cultural,3,"It was okay, some parts were useful."
R0064,2025-08-27 09:39:52.129125,Startup Pitch Day,Entrepreneurship Club,Seminar,4,Fun and interactive. The cohort participation was great.
R0065,2025-09-02 13:49:52.129125,Career Talk: Resume & Interview,Career Services,Seminar,5,Great speakers and practical examples. Loved it!
R0066,2025-09-11 22:11:52.129125,Design Thinking Workshop,Design Dept,Workshop,5,Great speakers and practical examples. Loved it!
R0067,2025-08-23 21:50:52.129125,AI Workshop,Computer Science,Workshop,5,Fun and interactive. The cohort participation was great.
R0068,2025-07-22 03:40:52.129125,Design Thinking Workshop,Design Dept,Workshop,5,Very useful content; would attend similar events again.
R0069,2025-08-02 15:17:52.129125,AI Workshop,Computer Science,Workshop,3,"It was okay, some parts were useful. Venue issues."
R0070,2025-08-13 21:47:52.129125,Startup Pitch Day,Entrepreneurship Club,Seminar,3,Average experience. Could be better organized.
R0071,2025-08-30 00:47:52.129125,AI Workshop,Computer Science,Workshop,4,Great speakers and practical examples. Loved it!
R0072,2025-06-29 09:57:52.129125,Data Visualization Session,Data Science,Workshop,5,Really enjoyed the session — very informative and engaging.
R0073,2025-08-26 01:57:52.129125,Music Fest,Cultural Club,Cultural,4,Really enjoyed the session — very informative and engaging.
R0074,2025-07-20 19:11:52.129125,Cultural Night,Cultural Club,Cultural,3,Average experience. Could be better organized.
R0075,2025-06-24 00:21:52.129125,Music Fest,Cultural Club,Cultural,3,Average experience. Could be better organized. Venue issues.
R0076,2025-08-23 08:54:52.129125,Guest Lecture: Ethics in Tech,Philosophy Dept,Seminar,4,Great speakers and practical examples. Loved it!
R0077,2025-08-10 03:55:52.129125,Career Talk: Resume & Interview,Career Services,Seminar,3,Neutral — neither very good nor very bad.
R0078,2025-07-16 22:15:52.129125,Guest Lecture: Ethics in Tech,Philosophy Dept,Seminar,3,Neutral — neither very good nor very bad.
R0079,2025-07-23 18:30:52.129125,Music Fest,Cultural Club,Cultural,5,Fun and interactive. The cohort participation was great.
R0080,2025-07-02 04:19:52.129125,Music Fest,Cultural Club,Cultural,5,Really enjoyed the session — very informative and engaging. Too long.
R0081,2025-08-04 23:29:52.129125,Career Talk: Resume & Interview,Career Services,Seminar,4,Really enjoyed the session — very informative and engaging. Venue issues.
R0082,2025-07-30 18:43:52.129125,AI Workshop,Computer Science,Workshop,5,Fun and interactive. The cohort participation was great.
R0083,2025-07-25 10:45:52.129125,Career Talk: Resume & Interview,Career Services,Seminar,5,Fun and interactive. The cohort participation was great. Too long.
R0084,2025-09-06 19:37:52.129125,AI Workshop,Computer Science,Workshop,3,"It was okay, some parts were useful."
R0085,2025-06-24 02:51:52.129125,AI Workshop,Computer Science,Workshop,3,
R0086,2025-08-12 12:37:52.129125,Career Talk: Resume & Interview,Career Services,Seminar,4,Really enjoyed the session — very informative and engaging.
R0087,2025-09-14 11:09:52.129125,AI Workshop,Computer Science,Workshop,5,Well organized and helpful. Learned a lot.
R0088,2025-09-11 05:09:52.129125,Data Visualization Session,Data Science,Workshop,3,Average experience. Could be better organized.
R0089,2025-09-05 18:31:52.129125,Startup Pitch Day,Entrepreneurship Club,Seminar,4,
R0090,2025-07-17 02:24:52.129125,Music Fest,Cultural Club,Cultural,3,
R0091,2025-08-26 21:21:52.129125,Career Talk: Resume & Interview,Career Services,Seminar,4,Fun and interactive. The cohort participation was great.
R0092,2025-07-07 16:52:52.129125,Cultural Night,Cultural Club,Cultural,3,"Somewhat informative, but pacing felt off."
R0093,2025-07-25 05:09:52.129125,Career Talk: Resume & Interview,Career Services,Seminar,4,Very useful content; would attend similar events again.
R0094,2025-09-13 12:02:52.129125,Guest Lecture: Ethics in Tech,Philosophy Dept,Seminar,4,Great speakers and practical examples. Loved it!
R0095,2025-07-01 00:20:52.129125,Data Visualization Session,Data Science,Workshop,4,Really enjoyed the session — very informative and engaging.
R0096,2025-09-04 02:44:52.129125,Guest Lecture: Ethics in Tech,Philosophy Dept,Seminar,4,Well organized and helpful. Learned a lot.
R0097,2025-09-11 05:13:52.129125,Guest Lecture: Ethics in Tech,Philosophy Dept,Seminar,4,Very useful content; would attend similar events again. Food arrangement was bad.
R0098,2025-09-15 05:44:52.129125,AI Workshop,Computer Science,Workshop,4,Really enjoyed the session — very informative and engaging.
R0099,2025-07-18 02:56:52.129125,AI Workshop,Computer Science,Workshop,4,Very useful content; would attend similar events again.
R0100,2025-08-28 10:43:52.129125,Design Thinking Workshop,Design Dept,Workshop,5,Really enjoyed the session — very informative and engaging.
R0101,2025-06-26 21:55:52.129125,Career Talk: Resume & Interview,Career Services,Seminar,4,Great speakers and practical examples. Loved it!
R0102,2025-09-09 15:02:52.129125,Career Talk: Resume & Interview,Career Services,Seminar,4,Fun and interactive. The cohort participation was great.
R0103,2025-08-16 08:57:52.129125,Music Fest,Cultural Club,Cultural,3,Average experience. Could be better organized.
R0104,2025-08-23 19:41:52.129125,Guest Lecture: Ethics in Tech,Philosophy Dept,Seminar,3,Average experience. Could be better organized. Venue issues.
R0105,2025-07-25 10:01:52.129125,Music Fest,Cultural Club,Cultural,3,Average experience. Could be better organized.
R0106,2025-09-14 23:39:52.129125,Data Visualization Session,Data Science,Workshop,4,Very useful content; would attend similar events again.
R0107,2025-07-29 21:55:52.129125,Data Visualization Session,Data Science,Workshop,4,Really enjoyed the session — very informative and engaging.
R0108,2025-08-05 01:40:52.129125,AI Workshop,Computer Science,Workshop,4,Really enjoyed the session — very informative and engaging. Too long.
R0109,2025-07-02 07:27:52.129125,Cultural Night,Cultural Club,Cultural,4,Food arrangement was bad.
R0110,2025-08-13 05:40:52.129125,Music Fest,Cultural Club,Cultural,4,Very useful content; would attend similar events again.
R0111,2025-07-11 20:34:52.129125,Career Talk: Resume & Interview,Career Services,Seminar,4,Very useful content; would attend similar events again.
R0112,2025-09-17 00:32:52.129125,AI Workshop,Computer Science,Workshop,4,Great speakers and practical examples. Loved it! Food arrangement was bad.
R0113,2025-09-16 23:17:52.129125,AI Workshop,Computer Science,Workshop,4,
R0114,2025-08-23 08:25:52.129125,Guest Lecture: Ethics in Tech,Philosophy Dept,Seminar,4,Well organized and helpful. Learned a lot.
R0115,2025-06-25 19:45:52.129125,Music Fest,Cultural Club,Cultural,5,Well organized and helpful. Learned a lot.
R0116,2025-09-09 20:34:52.129125,Guest Lecture: Ethics in Tech,Philosophy Dept,Seminar,3,"Somewhat informative, but pacing felt off."
R0117,2025-08-02 11:11:52.129125,Cultural Night,Cultural Club,Cultural,5,Great speakers and practical examples. Loved it!
R0118,2025-06-28 17:30:52.129125,Startup Pitch Day,Entrepreneurship Club,Seminar,3,Average experience. Could be better organized.
R0119,2025-08-22 08:37:52.129125,AI Workshop,Computer Science,Workshop,4,Fun and interactive. The cohort participation was great.
R0120,2025-09-03 18:16:52.129125,AI Workshop,Computer Science,Workshop,5,Well organized and helpful. Learned a lot.
R0121,2025-06-25 19:16:52.129125,AI Workshop,Computer Science,Workshop,3,"It was okay, some parts were useful."
R0122,2025-09-02 16:23:52.129125,Music Fest,Cultural Club,Cultural,5,
R0123,2025-09-05 04:23:52.129125,Cultural Night,Cultural Club,Cultural,2,"Not what I expected, the content was confusing."
R0124,2025-07-16 08:09:52.129125,Data Visualization Session,Data Science,Workshop,5,Great speakers and practical examples. Loved it!
R0125,2025-09-06 04:50:52.129125,Data Visualization Session,Data Science,Workshop,4,Fun and interactive. The cohort participation was great.
R0126,2025-07-03 08:35:52.129125,Data Visualization Session,Data Science,Workshop,4,Great speakers and practical examples. Loved it!
R0127,2025-08-16 08:45:52.129125,Guest Lecture: Ethics in Tech,Philosophy Dept,Seminar,4,Really enjoyed the session — very informative and engaging.
R0128,2025-08-21 04:11:52.129125,Career Talk: Resume & Interview,Career Services,Seminar,4,Fun and interactive. The cohort participation was great. Good examples.
R0129,2025-08-10 09:43:52.129125,Data Visualization Session,Data Science,Workshop,5,Very useful content; would attend similar events again.
R0130,2025-07-28 01:07:52.129125,Design Thinking Workshop,Design Dept,Workshop,4,Well organized and helpful. Learned a lot.
R0131,2025-07-04 00:09:52.129125,Career Talk: Resume & Interview,Career Services,Seminar,4,Well organized and helpful. Learned a lot.
R0132,2025-08-13 19:49:52.129125,Career Talk: Resume & Interview,Career Services,Seminar,5,
R0133,2025-08-06 23:49:52.129125,Startup Pitch Day,Entrepreneurship Club,Seminar,3,"Somewhat informative, but pacing felt off."
R0134,2025-08-16 17:18:52.129125,Cultural Night,Cultural Club,Cultural,2,Too crowded and noisy; couldn't focus.
R0135,2025-08-05 01:39:52.129125,Music Fest,Cultural Club,Cultural,2,Too crowded and noisy; couldn't focus.
R0136,2025-07-13 08:18:52.129125,Data Visualization Session,Data Science,Workshop,4,Really enjoyed the session — very informative and engaging.
R0137,2025-09-10 10:39:52.129125,Music Fest,Cultural Club,Cultural,4,Fun and interactive. The cohort participation was great.
R0138,2025-07-07 05:48:52.129125,Data Visualization Session,Data Science,Workshop,3,"It was okay, some parts were useful."
R0139,2025-07-02 14:10:52.129125,Career Talk: Resume & Interview,Career Services,Seminar,3,Neutral — neither very good nor very bad. Too long.
R0140,2025-07-24 12:25:52.129125,Design Thinking Workshop,Design Dept,Workshop,3,"It was okay, some parts were useful."
R0141,2025-08-17 05:51:52.129125,Career Talk: Resume & Interview,Career Services,Seminar,5,
R0142,2025-09-12 14:41:52.129125,Design Thinking Workshop,Design Dept,Workshop,4,Well organized and helpful. Learned a lot.
R0143,2025-07-08 08:09:52.129125,Cultural Night,Cultural Club,Cultural,4,Very useful content; would attend similar events again.
R0144,2025-08-04 08:10:52.129125,Startup Pitch Day,Entrepreneurship Club,Seminar,4,Fun and interactive. The cohort participation was great.
R0145,2025-06-25 00:50:52.129125,AI Workshop,Computer Science,Workshop,3,Neutral — neither very good nor very bad.
R0146,2025-09-10 07:14:52.129125,Data Visualization Session,Data Science,Workshop,5,Great speakers and practical examples. Loved it!
R0147,2025-08-08 16:03:52.129125,Startup Pitch Day,Entrepreneurship Club,Seminar,5,Really enjoyed the session — very informative and engaging.
R0148,2025-07-25 16:32:52.129125,Data Visualization Session,Data Science,Workshop,5,Fun and interactive. The cohort participation was great.
R0149,2025-08-14 03:45:52.129125,Cultural Night,Cultural Club,Cultural,3,Neutral — neither very good nor very bad.
R0150,2025-08-05 14:14:52.129125,Startup Pitch Day,Entrepreneurship Club,Seminar,3,Average experience. Could be better organized.
R0151,2025-07-30 13:59:52.129125,Design Thinking Workshop,Design Dept,Workshop,4,Great speakers and practical examples. Loved it!
R0152,2025-07-24 09:51:52.129125,Startup Pitch Day,Entrepreneurship Club,Seminar,3,"Somewhat informative, but pacing felt off."
R0153,2025-08-15 06:04:52.129125,Startup Pitch Day,Entrepreneurship Club,Seminar,5,Really enjoyed the session — very informative and engaging.
R0154,2025-07-05 11:46:52.129125,Data Visualization Session,Data Science,Workshop,5,Very useful content; would attend similar events again. Venue issues.
R0155,2025-07-07 08:05:52.129125,AI Workshop,Computer Science,Workshop,4,Really enjoyed the session — very informative and engaging.
R0156,2025-08-07 22:32:52.129125,Design Thinking Workshop,Design Dept,Workshop,4,Great speakers and practical examples. Loved it! Venue issues.
R0157,2025-09-16 23:39:52.129125,Cultural Night,Cultural Club,Cultural,4,Very useful content; would attend similar events again.
R0158,2025-07-14 22:40:52.129125,Guest Lecture: Ethics in Tech,Philosophy Dept,Seminar,3,"It was okay, some parts were useful."
R0159,2025-08-12 04:17:52.129125,Data Visualization Session,Data Science,Workshop,5,Really enjoyed the session — very informative and engaging.
R0160,2025-07-08 13:36:52.129125,Cultural Night,Cultural Club,Cultural,3,"It was okay, some parts were useful."
R0161,2025-07-02 01:38:52.129125,Design Thinking Workshop,Design Dept,Workshop,3,Average experience. Could be better organized.
R0162,2025-08-13 01:04:52.129125,Guest Lecture: Ethics in Tech,Philosophy Dept,Seminar,2,Poorly organized and the speaker ran overtime.
R0163,2025-07-22 00:39:52.129125,AI Workshop,Computer Science,Workshop,4,Well organized and helpful. Learned a lot. Venue issues.
R0164,2025-09-18 19:54:52.129125,AI Workshop,Computer Science,Workshop,3,Neutral — neither very good nor very bad. Too long.
R0165,2025-08-29 03:41:52.129125,Career Talk: Resume & Interview,Career Services,Seminar,5,Really enjoyed the session — very informative and engaging.
